L 10/03/2025 - 14:34:49: [03/10/2025 - 14:34:49] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 20.8%, Threshold: 20.0%)
L 10/03/2025 - 14:34:49: [03/10/2025 - 14:34:49] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 22.4%, Threshold: 20.0%)
L 10/03/2025 - 14:34:49: [03/10/2025 - 14:34:49] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 22.6%, Threshold: 20.0%)
L 10/03/2025 - 14:34:49: [03/10/2025 - 14:34:49] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 24.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:49: [03/10/2025 - 14:34:49] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 24.1%, Threshold: 20.0%)
L 10/03/2025 - 14:34:49: [03/10/2025 - 14:34:49] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 25.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 26.2%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 27.4%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 28.5%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 29.6%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 30.3%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 30.8%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 31.8%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 32.8%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 33.8%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 34.7%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 34.6%, Threshold: 20.0%)
L 10/03/2025 - 14:34:51: [03/10/2025 - 14:34:51] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 35.5%, Threshold: 20.0%)
L 10/03/2025 - 14:34:51: [03/10/2025 - 14:34:51] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 36.3%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 66.6%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 64.2%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 66.6%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 68.7%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 70.5%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 65.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:04: [03/10/2025 - 14:47:04] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 20.5%, Threshold: 20.0%)
L 10/03/2025 - 14:47:04: [03/10/2025 - 14:47:04] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 21.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:04: [03/10/2025 - 14:47:04] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 21.4%, Threshold: 20.0%)
L 10/03/2025 - 14:47:04: [03/10/2025 - 14:47:04] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 23.2%, Threshold: 20.0%)
L 10/03/2025 - 14:47:05: [03/10/2025 - 14:47:05] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 24.4%, Threshold: 20.0%)
L 10/03/2025 - 14:47:05: [03/10/2025 - 14:47:05] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 26.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:05: [03/10/2025 - 14:47:05] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 27.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:05: [03/10/2025 - 14:47:05] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 28.5%, Threshold: 20.0%)
L 10/03/2025 - 14:47:05: [03/10/2025 - 14:47:05] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 30.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:06: [03/10/2025 - 14:47:06] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 26.6%, Threshold: 20.0%)
L 10/03/2025 - 14:47:09: [03/10/2025 - 14:47:09] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 25.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:10: [03/10/2025 - 14:47:10] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 25.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:10: [03/10/2025 - 14:47:10] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 26.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:10: [03/10/2025 - 14:47:10] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 25.9%, Threshold: 20.0%)
L 10/03/2025 - 14:47:10: [03/10/2025 - 14:47:10] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 25.3%, Threshold: 20.0%)
L 10/03/2025 - 14:47:11: [03/10/2025 - 14:47:11] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 25.5%, Threshold: 20.0%)
L 10/03/2025 - 14:47:15: [03/10/2025 - 14:47:15] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 24.7%, Threshold: 20.0%)
L 10/03/2025 - 14:47:16: [03/10/2025 - 14:47:16] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 25.5%, Threshold: 20.0%)
L 10/03/2025 - 14:47:16: [03/10/2025 - 14:47:16] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 26.3%, Threshold: 20.0%)
L 10/03/2025 - 14:47:16: [03/10/2025 - 14:47:16] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 27.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:16: [03/10/2025 - 14:47:16] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 27.5%, Threshold: 20.0%)
L 10/03/2025 - 14:47:16: [03/10/2025 - 14:47:16] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 28.2%, Threshold: 20.0%)
L 10/03/2025 - 14:47:16: [03/10/2025 - 14:47:16] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 29.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:16: [03/10/2025 - 14:47:16] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 29.7%, Threshold: 20.0%)
L 10/03/2025 - 14:47:17: [03/10/2025 - 14:47:17] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 30.3%, Threshold: 20.0%)
L 10/03/2025 - 14:47:17: [03/10/2025 - 14:47:17] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 31.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:17: [03/10/2025 - 14:47:17] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 30.5%, Threshold: 20.0%)
L 10/03/2025 - 14:47:17: [03/10/2025 - 14:47:17] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 30.9%, Threshold: 20.0%)
L 10/03/2025 - 14:47:18: [03/10/2025 - 14:47:18] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 30.7%, Threshold: 20.0%)
L 10/03/2025 - 14:47:18: [03/10/2025 - 14:47:18] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 30.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:18: [03/10/2025 - 14:47:18] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 30.5%, Threshold: 20.0%)
